ts,n_slots,p50_lamports,p99_lamports,mean_lamports,std_lamports,slot_p99_lamports,max_lamports
2026-08-21T11:00:35+00:00,150,0,0,0,0.0,0,0
2026-08-21T12:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-21T13:00:47+00:00,150,0,0,0,0.0,0,0
2026-08-21T14:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-21T15:00:09+00:00,150,0,0,0,0.0,0,0
2026-08-21T16:00:21+00:00,150,0,0,0,0.0,0,0
2026-08-21T17:00:30+00:00,150,0,0,0,0.0,0,0
2026-08-21T18:00:42+00:00,150,0,0,0,0.0,0,0
2026-08-21T19:00:54+00:00,150,0,0,0,0.0,0,0
2026-08-21T20:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-21T22:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-21T23:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-22T00:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-22T01:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-22T02:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-22T03:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-22T04:00:11+00:00,150,0,0,0,0.0,0,0
2026-08-22T05:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-22T06:00:31+00:00,150,0,0,0,0.0,0,0
2026-08-22T07:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-22T08:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-22T09:00:04+00:00,150,0,0,0,0.0,0,0
2026-08-22T10:00:14+00:00,150,0,0,0,0.0,0,0
2026-08-22T11:00:21+00:00,150,0,0,0,0.0,0,0
2026-08-22T12:00:32+00:00,150,0,0,0,0.0,0,0
2026-08-22T13:00:42+00:00,150,0,0,0,0.0,0,0
2026-08-22T14:00:52+00:00,150,0,0,0,0.0,0,0
2026-08-22T15:00:01+00:00,150,0,0,0,0.0,0,0
2026-08-22T16:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-22T17:00:30+00:00,150,0,0,0,0.0,0,0
2026-08-22T18:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-22T19:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-22T20:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-22T22:00:26+00:00,150,0,0,0,0.0,0,0
2026-08-22T23:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-23T00:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-23T01:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-23T02:00:15+00:00,150,0,0,0,0.0,0,0
2026-08-23T03:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-23T04:00:01+00:00,150,0,0,0,0.0,0,0
2026-08-23T05:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-23T06:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-23T07:00:36+00:00,150,0,0,0,0.0,0,0
2026-08-23T08:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-23T09:00:58+00:00,150,0,0,0,0.0,0,0
2026-08-23T10:00:14+00:00,150,0,0,0,0.0,0,0
2026-08-23T12:00:41+00:00,150,0,0,33333.3,408248.3,0,5000000
2026-08-23T13:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-23T14:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-23T15:00:12+00:00,150,0,0,0,0.0,0,0
2026-08-23T16:00:21+00:00,150,0,0,0,0.0,0,0
