ts,pair,us_sym,chain_mid,us_price,dev_bps,us_ts,vol24h
2026-08-08T15:30:35+00:00,SPYX/USDT,SPY,777.99,773.260009765625,61.2,08-07 00:00,334165
2026-08-08T15:30:35+00:00,COINX/USDT,COIN,154.53,153.60000610351562,60.2,08-07 00:00,70291
2026-08-08T15:30:35+00:00,GOOGLX/USDT,GOOGL,356.43,354.29998779296875,60.0,08-07 00:00,124206
2026-08-08T16:00:37+00:00,MSTRX/USDT,MSTR,101.63,100.01000213623047,162.0,08-07 00:00,180746
2026-08-08T16:00:37+00:00,TSLAX/USDT,TSLA,330.9,328.5799865722656,70.8,08-07 00:00,110098
2026-08-08T16:00:37+00:00,GOOGLX/USDT,GOOGL,356.45,354.29998779296875,60.5,08-07 00:00,117168
2026-08-08T16:00:37+00:00,SPYX/USDT,SPY,777.84,773.260009765625,59.2,08-07 00:00,313403
2026-08-08T16:00:37+00:00,COINX/USDT,COIN,154.09,153.60000610351562,32.2,08-07 00:00,72570
2026-08-08T16:30:45+00:00,MSTRX/USDT,MSTR,101.75,100.01000213623047,173.5,08-07 00:00,165387
2026-08-08T16:30:45+00:00,MCDX/USDT,MCD,277.69,274.4800109863281,116.9,08-07 00:00,23698
2026-08-08T16:30:45+00:00,TSLAX/USDT,TSLA,330.54,328.5799865722656,59.7,08-07 00:00,104280
2026-08-08T16:30:45+00:00,SPYX/USDT,SPY,777.75,773.260009765625,58.0,08-07 00:00,306348
2026-08-08T16:30:45+00:00,GOOGLX/USDT,GOOGL,356.3,354.29998779296875,56.3,08-07 00:00,92278
2026-08-08T16:30:45+00:00,COINX/USDT,COIN,154.37,153.60000610351562,50.1,08-07 00:00,69064
2026-08-08T16:30:45+00:00,AAPLX/USDT,AAPL,312.26,313.3299865722656,-34.0,08-07 00:00,32876
2026-08-08T17:00:52+00:00,MSTRX/USDT,MSTR,101.78,100.01000213623047,177.0,08-07 00:00,162795
2026-08-08T17:00:52+00:00,MCDX/USDT,MCD,277.31,274.4800109863281,103.3,08-07 00:00,24028
2026-08-08T17:00:52+00:00,TSLAX/USDT,TSLA,330.85,328.5799865722656,68.9,08-07 00:00,98433
2026-08-08T17:00:52+00:00,COINX/USDT,COIN,154.53,153.60000610351562,60.2,08-07 00:00,67120
2026-08-08T17:00:52+00:00,GOOGLX/USDT,GOOGL,356.43,354.29998779296875,60.1,08-07 00:00,91464
